,#EventID,Time,Latitude,Longitude,Depth/km,Author,Catalog,Contributor,ContributorID,MagType,Magnitude,MagAuthor,EventLocationName,EventType
889,gfz2025rpbf,2025-09-08T03:45:47.77,32.46,142.031,10.0,,,GFZ,gfz2025rpbf,mb,4.74,,"Southeast of Honshu, Japan",
890,gfz2025rpaa,2025-09-08T03:10:00.83,-58.377,-15.875,10.0,,,GFZ,gfz2025rpaa,mb,5.26,,East of South Sandwich Islands,
891,gfz2025royk,2025-09-08T02:20:55.16,70.965,-5.939,10.0,,,GFZ,gfz2025royk,mb,4.49,,Jan Mayen Island Region,
892,gfz2025rowq,2025-09-08T01:27:25.88,-50.724,162.381,10.0,,,GFZ,gfz2025rowq,mb,5.19,,"Auckland Islands, New Zealand Region",
893,gfz2025rotk,2025-09-07T23:49:05.6,-20.99,-68.927,101.7,,,GFZ,gfz2025rotk,mb,4.59,,Chile-Bolivia Border Region,
894,gfz2025rooq,2025-09-07T21:24:52.97,50.966,156.935,10.0,,,GFZ,gfz2025rooq,mb,5.04,,Kuril Islands,
895,gfz2025roly,2025-09-07T20:03:20.78,39.218,28.306,10.0,,,GFZ,gfz2025roly,Mw,4.39,,Türkiye,
896,gfz2025rokd,2025-09-07T19:08:34.34,50.072,155.924,10.0,,,GFZ,gfz2025rokd,mb,4.92,,Kuril Islands,
897,gfz2025rojz,2025-09-07T19:03:38.59,-16.0,-175.043,294.9,,,GFZ,gfz2025rojz,mb,4.65,,Tonga Islands,
898,gfz2025rode,2025-09-07T15:36:28.72,3.422,126.582,47.5,,,GFZ,gfz2025rode,mb,4.62,,"Talaud Islands, Indonesia",
899,gfz2025rocx,2025-09-07T15:29:11.5,-6.485,130.718,83.0,,,GFZ,gfz2025rocx,mb,4.95,,Banda Sea,
900,gfz2025rnuz,2025-09-07T11:29:08.33,24.027,122.616,10.0,,,GFZ,gfz2025rnuz,mb,4.79,,Taiwan Region,
901,gfz2025rnrg,2025-09-07T09:35:10.3,39.251,28.198,10.0,,,GFZ,gfz2025rnrg,Mw,4.81,,Türkiye,
902,gfz2025rnpr,2025-09-07T08:47:58.72,52.355,160.146,10.0,,,GFZ,gfz2025rnpr,mb,5.17,,Off East Coast of Kamchatka,
903,gfz2025rnpl,2025-09-07T08:40:41.87,51.3,157.578,39.0,,,GFZ,gfz2025rnpl,mb,4.83,,Near East Coast of Kamchatka,
904,gfz2025rnpd,2025-09-07T08:31:26.83,52.274,160.452,10.0,,,GFZ,gfz2025rnpd,mb,5.29,,Off East Coast of Kamchatka,
905,gfz2025rnnc,2025-09-07T07:29:10.31,9.202,126.833,10.0,,,GFZ,gfz2025rnnc,mb,5.32,,"Mindanao, Philippines",
906,gfz2025rngp,2025-09-07T04:12:31.86,-24.219,-67.192,177.8,,,GFZ,gfz2025rngp,mb,4.2,,Chile-Argentina Border Region,
907,gfz2025rmyh,2025-09-07T00:01:16.84,34.031,71.076,10.0,,,GFZ,gfz2025rmyh,mb,4.44,,Pakistan,
908,gfz2025rmsu,2025-09-06T21:13:58.38,52.393,159.966,10.0,,,GFZ,gfz2025rmsu,mb,4.87,,Off East Coast of Kamchatka,
909,gfz2025rmsq,2025-09-06T21:09:21.56,52.615,159.403,33.0,,,GFZ,gfz2025rmsq,mb,5.03,,Off East Coast of Kamchatka,
910,gfz2025rmrr,2025-09-06T20:40:42.58,52.4,-169.613,34.8,,,GFZ,gfz2025rmrr,Mw,5.41,,"Fox Islands, Aleutian Islands",
911,gfz2025rmqj,2025-09-06T20:00:57.93,51.754,158.088,66.5,,,GFZ,gfz2025rmqj,mb,5.12,,Near East Coast of Kamchatka,
912,gfz2025rmqe,2025-09-06T19:55:02.94,-37.538,178.66,10.0,,,GFZ,gfz2025rmqe,mb,5.12,,"Off East Coast of North Island, New Zealand",
913,gfz2025rmof,2025-09-06T18:55:16.17,-28.349,-67.454,126.5,,,GFZ,gfz2025rmof,mb,4.42,,"La Rioja Province, Argentina",
914,gfz2025rmoc,2025-09-06T18:51:29.02,-17.694,-178.261,551.3,,,GFZ,gfz2025rmoc,mb,4.87,,Fiji Islands Region,
915,gfz2025rmis,2025-09-06T16:08:29.72,51.648,159.562,10.0,,,GFZ,gfz2025rmis,mb,5.26,,Off East Coast of Kamchatka,
916,gfz2025rlyq,2025-09-06T11:02:18.7,43.566,-29.134,10.0,,,GFZ,gfz2025rlyq,mb,4.88,,Northern Mid-Atlantic Ridge,
917,gfz2025rlrh,2025-09-06T07:20:16.09,-22.995,-66.505,195.9,,,GFZ,gfz2025rlrh,mb,4.65,,"Jujuy Province, Argentina",
918,gfz2025rlpm,2025-09-06T06:25:27.78,54.442,-159.888,10.0,,,GFZ,gfz2025rlpm,mb,5.12,,South of Alaska,
919,gfz2025rlnv,2025-09-06T05:35:18.8,-18.765,168.872,162.0,,,GFZ,gfz2025rlnv,mb,4.76,,Vanuatu Islands,
920,gfz2025rlje,2025-09-06T03:14:48.56,57.704,119.97,10.0,,,GFZ,gfz2025rlje,mb,4.67,,"East of Lake Baykal, Russia",
921,gfz2025rkxa,2025-09-05T21:05:24.16,48.853,156.343,10.0,,,GFZ,gfz2025rkxa,mb,4.74,,East of Kuril Islands,
922,gfz2025rkwr,2025-09-05T20:55:09.56,49.41,155.707,10.0,,,GFZ,gfz2025rkwr,mb,5.13,,Kuril Islands,
923,gfz2025rkqj,2025-09-05T17:43:41.66,72.691,4.531,10.0,,,GFZ,gfz2025rkqj,mb,4.5,,Norwegian Sea,
924,gfz2025rkqi,2025-09-05T17:42:36.35,-1.683,-80.793,14.0,,,GFZ,gfz2025rkqi,Mw,5.35,,Near Coast of Ecuador,
925,gfz2025rkpt,2025-09-05T17:25:51.54,34.539,70.745,10.0,,,GFZ,gfz2025rkpt,mb,5.08,,Southeastern Afghanistan,
926,gfz2025rkgl,2025-09-05T12:43:47.63,43.293,20.339,10.0,,,GFZ,gfz2025rkgl,mb,4.16,,Northwestern Balkan Region,
927,gfz2025rjww,2025-09-05T07:52:34.32,39.19,28.156,10.0,,,GFZ,gfz2025rjww,mb,4.36,,Türkiye,
928,gfz2025rjug,2025-09-05T06:33:11.73,16.004,-96.132,10.0,,,GFZ,gfz2025rjug,mb,4.81,,"Oaxaca, Mexico",
929,gfz2025rjsk,2025-09-05T05:37:45.6,34.634,70.828,10.0,,,GFZ,gfz2025rjsk,mb,4.62,,Southeastern Afghanistan,
930,gfz2025rjlu,2025-09-05T02:16:48.88,34.517,70.729,10.0,,,GFZ,gfz2025rjlu,mb,4.72,,Southeastern Afghanistan,
931,gfz2025rjkf,2025-09-05T01:30:03.73,34.524,70.81,10.0,,,GFZ,gfz2025rjkf,mb,5.36,,Southeastern Afghanistan,
932,gfz2025rjkd,2025-09-05T01:27:38.83,-23.48,-175.245,10.0,,,GFZ,gfz2025rjkd,mb,5.2,,Tonga Islands Region,
933,gfz2025rjeo,2025-09-04T22:38:39.25,52.428,160.556,10.0,,,GFZ,gfz2025rjeo,M,5.47,,Off East Coast of Kamchatka,
934,gfz2025rjcw,2025-09-04T21:46:42.41,35.841,71.517,10.0,,,GFZ,gfz2025rjcw,mb,4.83,,Pakistan,
935,gfz2025rizl,2025-09-04T20:03:08.37,11.921,-87.168,65.8,,,GFZ,gfz2025rizl,mb,4.88,,Near Coast of Nicaragua,
936,gfz2025rize,2025-09-04T19:54:24.24,52.43,-169.58,10.0,,,GFZ,gfz2025rize,mb,5.2,,"Fox Islands, Aleutian Islands",
937,gfz2025rixk,2025-09-04T19:01:12.43,52.514,-169.658,10.0,,,GFZ,gfz2025rixk,mb,5.22,,"Fox Islands, Aleutian Islands",
938,gfz2025rith,2025-09-04T16:56:25.45,34.714,70.828,10.0,,,GFZ,gfz2025rith,Mw,5.58,,Southeastern Afghanistan,
939,gfz2025riml,2025-09-04T13:28:43.85,18.268,-70.626,10.0,,,GFZ,gfz2025riml,mb,4.93,,Dominican Republic Region,
940,gfz2025rili,2025-09-04T12:55:48.78,52.189,160.462,10.0,,,GFZ,gfz2025rili,mb,4.98,,Off East Coast of Kamchatka,
941,gfz2025rihw,2025-09-04T11:10:14.02,-19.436,169.723,10.0,,,GFZ,gfz2025rihw,mb,5.18,,Vanuatu Islands,
942,gfz2025rift,2025-09-04T10:06:04.47,26.493,140.469,376.5,,,GFZ,gfz2025rift,mb,4.82,,"Bonin Islands, Japan Region",
943,gfz2025riev,2025-09-04T09:38:35.64,-4.941,153.522,10.0,,,GFZ,gfz2025riev,mb,5.17,,"New Ireland Region, Papua New Guinea",
944,gfz2025ridq,2025-09-04T09:01:51.6,51.673,16.166,1.0,,,GFZ,gfz2025ridq,M,3.21,,Poland,
